Fraction of Spies,Trial 0 Precision,Trial 1 Precision,Trial 2 Precision,Trial 3 Precision,Trial 4 Precision,Trial 5 Precision,Trial 6 Precision,Trial 7 Precision,Trial 8 Precision,Trial 9 Precision,Trial 10 Precision,Trial 11 Precision,Trial 12 Precision,Trial 13 Precision,Trial 14 Precision,Trial 15 Precision,Trial 16 Precision,Trial 17 Precision,Trial 18 Precision,Trial 19 Precision,Trial 20 Precision,Trial 21 Precision,Trial 22 Precision,Trial 23 Precision,Trial 24 Precision,Trial 25 Precision,Trial 26 Precision,Trial 27 Precision,Trial 28 Precision,Trial 29 Precision,Trial 30 Precision,Trial 31 Precision,Trial 32 Precision,Trial 33 Precision,Trial 34 Precision,Trial 35 Precision,Trial 36 Precision,Trial 37 Precision,Trial 38 Precision,Trial 39 Precision,Trial 40 Precision,Trial 41 Precision,Trial 42 Precision,Trial 43 Precision,Trial 44 Precision,Trial 45 Precision,Trial 46 Precision,Trial 47 Precision,Trial 48 Precision,Trial 49 Precision,Trial 50 Precision,Trial 51 Precision,Trial 52 Precision,Trial 53 Precision,Trial 54 Precision,Trial 55 Precision,Trial 56 Precision,Trial 57 Precision,Trial 58 Precision,Trial 59 Precision,Trial 60 Precision,Trial 61 Precision,Trial 62 Precision,Trial 63 Precision,Trial 64 Precision,Trial 65 Precision,Trial 66 Precision,Trial 67 Precision,Trial 68 Precision,Trial 69 Precision,Trial 70 Precision,Trial 71 Precision,Trial 72 Precision,Trial 73 Precision,Trial 74 Precision,Trial 75 Precision,Trial 76 Precision,Trial 77 Precision,Trial 78 Precision,Trial 79 Precision,Trial 80 Precision,Trial 81 Precision,Trial 82 Precision,Trial 83 Precision,Trial 84 Precision,Trial 85 Precision,Trial 86 Precision,Trial 87 Precision,Trial 88 Precision,Trial 89 Precision,Trial 90 Precision,Trial 91 Precision,Trial 92 Precision,Trial 93 Precision,Trial 94 Precision,Trial 95 Precision,Trial 96 Precision,Trial 97 Precision,Trial 98 Precision,Trial 99 Precision,Trial 100 Precision,Trial 101 Precision,Trial 102 Precision,Trial 103 Precision,Trial 104 Precision,Trial 105 Precision,Trial 106 Precision,Trial 107 Precision,Trial 108 Precision,Trial 109 Precision,Trial 110 Precision,Trial 111 Precision,Trial 112 Precision,Trial 113 Precision,Trial 114 Precision,Trial 115 Precision,Trial 116 Precision,Trial 117 Precision,Trial 118 Precision,Trial 119 Precision,Trial 120 Precision,Trial 121 Precision,Trial 122 Precision,Trial 123 Precision,Trial 124 Precision,Trial 125 Precision,Trial 126 Precision,Trial 127 Precision,Trial 128 Precision,Trial 129 Precision,Trial 130 Precision,Trial 131 Precision,Trial 132 Precision,Trial 133 Precision,Trial 134 Precision,Trial 135 Precision,Trial 136 Precision,Trial 137 Precision,Trial 138 Precision,Trial 139 Precision,Trial 140 Precision,Trial 141 Precision,Trial 142 Precision,Trial 143 Precision,Trial 144 Precision,Trial 145 Precision,Trial 146 Precision,Trial 147 Precision,Trial 148 Precision,Trial 149 Precision,Trial 150 Precision,Trial 151 Precision,Trial 152 Precision,Trial 153 Precision,Trial 154 Precision,Trial 155 Precision,Trial 156 Precision,Trial 157 Precision,Trial 158 Precision,Trial 159 Precision,Trial 160 Precision,Trial 161 Precision,Trial 162 Precision,Trial 163 Precision,Trial 164 Precision,Trial 165 Precision,Trial 166 Precision,Trial 167 Precision,Trial 168 Precision,Trial 169 Precision,Trial 170 Precision,Trial 171 Precision,Trial 172 Precision,Trial 173 Precision,Trial 174 Precision,Trial 175 Precision,Trial 176 Precision,Trial 177 Precision,Trial 178 Precision,Trial 179 Precision,Trial 180 Precision,Trial 181 Precision,Trial 182 Precision,Trial 183 Precision,Trial 184 Precision,Trial 185 Precision,Trial 186 Precision,Trial 187 Precision,Trial 188 Precision,Trial 189 Precision,Trial 190 Precision,Trial 191 Precision,Trial 192 Precision,Trial 193 Precision,Trial 194 Precision,Trial 195 Precision,Trial 196 Precision,Trial 197 Precision,Trial 198 Precision,Trial 199 Precision,Trial 200 Precision,Trial 201 Precision,Trial 202 Precision,Trial 203 Precision,Trial 204 Precision,Trial 205 Precision,Trial 206 Precision,Trial 207 Precision,Trial 208 Precision,Trial 209 Precision,Trial 210 Precision,Trial 211 Precision,Trial 212 Precision,Trial 213 Precision,Trial 214 Precision,Trial 215 Precision,Trial 216 Precision,Trial 217 Precision,Trial 218 Precision,Trial 219 Precision,Trial 220 Precision,Trial 221 Precision,Trial 222 Precision,Trial 223 Precision,Trial 224 Precision,Trial 225 Precision,Trial 226 Precision,Trial 227 Precision,Trial 228 Precision,Trial 229 Precision,Trial 230 Precision,Trial 231 Precision,Trial 232 Precision,Trial 233 Precision,Trial 234 Precision,Trial 235 Precision,Trial 236 Precision,Trial 237 Precision,Trial 238 Precision,Trial 239 Precision,Trial 240 Precision,Trial 241 Precision,Trial 242 Precision,Trial 243 Precision,Trial 244 Precision,Trial 245 Precision,Trial 246 Precision,Trial 247 Precision,Trial 248 Precision,Trial 249 Precision,Trial 250 Precision,Trial 251 Precision,Trial 252 Precision,Trial 253 Precision,Trial 254 Precision,Trial 255 Precision
0.2,0.075,0.1375,0.0625,0.2125,0.1125,0.1375,0.25,0.175,0.15,0.15,0.25,0.1875,0.125,0.1375,0.1125,0.1625,0.2,0.1875,0.1,0.075,0.1875,0.125,0.1,0.25,0.2125,0.3,0.05,0.2,0.15,0.25,0.075,0.225,0.1875,0.2875,0.175,0.1375,0.175,0.15,0.25,0.3,0.1875,0.125,0.2,0.2125,0.225,0.325,0.0875,0.1875,0.1,0.225,0.15,0.125,0.2,0.1375,0.125,0.2625,0.15,0.05,0.275,0.1,0.3125,0.125,0.225,0.225,0.1625,0.1375,0.1875,0.1375,0.175,0.125,0.2375,0.15,0.3125,0.1375,0.1125,0.1125,0.1125,0.175,0.1375,0.1,0.1,0.1875,0.1125,0.1625,0.15,0.1875,0.35,0.125,0.2125,0.2,0.2,0.275,0.175,0.1625,0.2,0.1375,0.1375,0.1375,0.1875,0.0875,0.275,0.175,0.35,0.1875,0.1,0.0875,0.225,0.2625,0.075,0.225,0.25,0.2375,0.2375,0.25,0.1125,0.0625,0.1875,0.15,0.175,0.0375,0.2625,0.225,0.0375,0.2,0.3375,0.2125,0.2375,0.1125,0.05,0.1625,0.175,0.075,0.175,0.2125,0.2125,0.2125,0.125,0.075,0.175,0.225,0.2,0.3125,0.1875,0.3375,0.1625,0.3375,0.1375,0.1125,0.1,0.0625,0.1375,0.375,0.125,0.275,0.125,0.3,0.2125,0.225,0.15,0.225,0.0625,0.2625,0.275,0.175,0.275,0.2,0.0875,0.1125,0.1875,0.1375,0.05,0.3875,0.15,0.0875,0.1875,0.1,0.15,0.1875,0.2375,0.2125,0.2125,0.1125,0.2625,0.275,0.1625,0.15,0.1375,0.2125,0.1125,0.125,0.2625,0.1875,0.175,0.1125,0.1875,0.1125,0.35,0.1625,0.275,0.2,0.1375,0.275,0.1625,0.1875,0.1125,0.175,0.1,0.175,0.175,0.1875,0.1125,0.1375,0.1875,0.05,0.125,0.125,0.1375,0.2125,0.275,0.1125,0.075,0.1125,0.0625,0.0875,0.1875,0.2875,0.1125,0.05,0.125,0.2,0.125,0.2875,0.175,0.1875,0.1375,0.1375,0.225,0.1625,0.1375,0.0875,0.1,0.1625,0.2,0.275,0.225,0.175,0.175,0.175,0.2125,0.1375,0.1375,0.2,0.1,0.075,0.05,0.125
0.25,0.30666666666666664,0.16,0.29333333333333333,0.2,0.18666666666666668,0.05333333333333334,0.28,0.14666666666666667,0.38666666666666666,0.18666666666666668,0.36,0.25333333333333335,0.16,0.2,0.09333333333333334,0.17333333333333334,0.18666666666666668,0.13333333333333333,0.25333333333333335,0.38666666666666666,0.2,0.21333333333333335,0.28,0.21333333333333335,0.29333333333333333,0.12,0.36,0.17333333333333334,0.3466666666666667,0.29333333333333333,0.3466666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.17333333333333334,0.16,0.25333333333333335,0.21333333333333335,0.12,0.17333333333333334,0.13333333333333333,0.2,0.26666666666666666,0.24,0.24,0.36,0.10666666666666667,0.3466666666666667,0.22666666666666666,0.26666666666666666,0.25333333333333335,0.24,0.17333333333333334,0.24,0.26666666666666666,0.25333333333333335,0.14666666666666667,0.04,0.25333333333333335,0.17333333333333334,0.24,0.25333333333333335,0.28,0.18666666666666668,0.22666666666666666,0.37333333333333335,0.22666666666666666,0.21333333333333335,0.24,0.3333333333333333,0.28,0.21333333333333335,0.28,0.24,0.3466666666666667,0.18666666666666668,0.28,0.28,0.30666666666666664,0.22666666666666666,0.21333333333333335,0.22666666666666666,0.12,0.3333333333333333,0.24,0.16,0.28,0.28,0.10666666666666667,0.17333333333333334,0.16,0.22666666666666666,0.3466666666666667,0.28,0.26666666666666666,0.14666666666666667,0.22666666666666666,0.32,0.28,0.26666666666666666,0.29333333333333333,0.13333333333333333,0.10666666666666667,0.22666666666666666,0.18666666666666668,0.08,0.22666666666666666,0.17333333333333334,0.10666666666666667,0.05333333333333334,0.16,0.18666666666666668,0.17333333333333334,0.28,0.22666666666666666,0.26666666666666666,0.24,0.2,0.32,0.4,0.2,0.25333333333333335,0.22666666666666666,0.12,0.48,0.18666666666666668,0.30666666666666664,0.13333333333333333,0.08,0.24,0.06666666666666667,0.24,0.2,0.28,0.22666666666666666,0.18666666666666668,0.30666666666666664,0.21333333333333335,0.21333333333333335,0.18666666666666668,0.21333333333333335,0.2,0.29333333333333333,0.18666666666666668,0.17333333333333334,0.26666666666666666,0.25333333333333335,0.09333333333333334,0.26666666666666666,0.29333333333333333,0.06666666666666667,0.18666666666666668,0.18666666666666668,0.25333333333333335,0.21333333333333335,0.26666666666666666,0.16,0.4,0.36,0.18666666666666668,0.26666666666666666,0.26666666666666666,0.16,0.25333333333333335,0.25333333333333335,0.28,0.24,0.29333333333333333,0.3333333333333333,0.18666666666666668,0.12,0.24,0.26666666666666666,0.09333333333333334,0.16,0.18666666666666668,0.25333333333333335,0.10666666666666667,0.37333333333333335,0.10666666666666667,0.3333333333333333,0.22666666666666666,0.25333333333333335,0.2,0.24,0.26666666666666666,0.4,0.13333333333333333,0.2,0.26666666666666666,0.2,0.32,0.21333333333333335,0.06666666666666667,0.21333333333333335,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.24,0.22666666666666666,0.28,0.2,0.3466666666666667,0.37333333333333335,0.21333333333333335,0.28,0.41333333333333333,0.37333333333333335,0.16,0.21333333333333335,0.29333333333333333,0.26666666666666666,0.13333333333333333,0.25333333333333335,0.17333333333333334,0.14666666666666667,0.21333333333333335,0.28,0.26666666666666666,0.24,0.25333333333333335,0.3333333333333333,0.26666666666666666,0.25333333333333335,0.18666666666666668,0.36,0.2,0.4666666666666667,0.24,0.29333333333333333,0.29333333333333333,0.10666666666666667,0.29333333333333333,0.25333333333333335,0.17333333333333334,0.28,0.26666666666666666,0.24,0.26666666666666666,0.36,0.24,0.14666666666666667,0.3333333333333333,0.13333333333333333,0.10666666666666667,0.12,0.28,0.2,0.2,0.30666666666666664,0.21333333333333335,0.25333333333333335,0.26666666666666666,0.28,0.37333333333333335
0.3,0.3,0.18571428571428572,0.2571428571428571,0.32857142857142857,0.32857142857142857,0.34285714285714286,0.37142857142857144,0.2714285714285714,0.15714285714285714,0.2714285714285714,0.37142857142857144,0.4142857142857143,0.2714285714285714,0.24285714285714285,0.2857142857142857,0.3,0.38571428571428573,0.14285714285714285,0.3142857142857143,0.2571428571428571,0.2714285714285714,0.21428571428571427,0.2714285714285714,0.2714285714285714,0.2571428571428571,0.21428571428571427,0.24285714285714285,0.22857142857142856,0.22857142857142856,0.21428571428571427,0.38571428571428573,0.2714285714285714,0.3,0.38571428571428573,0.18571428571428572,0.2714285714285714,0.4,0.2571428571428571,0.2571428571428571,0.2714285714285714,0.2571428571428571,0.12857142857142856,0.12857142857142856,0.35714285714285715,0.3142857142857143,0.22857142857142856,0.4857142857142857,0.12857142857142856,0.3142857142857143,0.35714285714285715,0.2,0.37142857142857144,0.2857142857142857,0.2,0.37142857142857144,0.4,0.37142857142857144,0.2857142857142857,0.21428571428571427,0.24285714285714285,0.11428571428571428,0.4,0.45714285714285713,0.22857142857142856,0.14285714285714285,0.34285714285714286,0.3,0.24285714285714285,0.44285714285714284,0.2714285714285714,0.4142857142857143,0.2857142857142857,0.24285714285714285,0.42857142857142855,0.35714285714285715,0.2571428571428571,0.2857142857142857,0.11428571428571428,0.24285714285714285,0.22857142857142856,0.24285714285714285,0.2571428571428571,0.24285714285714285,0.37142857142857144,0.37142857142857144,0.17142857142857143,0.34285714285714286,0.35714285714285715,0.35714285714285715,0.1,0.3,0.2714285714285714,0.21428571428571427,0.2857142857142857,0.2714285714285714,0.2857142857142857,0.35714285714285715,0.22857142857142856,0.2857142857142857,0.34285714285714286,0.2714285714285714,0.2714285714285714,0.21428571428571427,0.35714285714285715,0.2714285714285714,0.2,0.2,0.3142857142857143,0.35714285714285715,0.2,0.37142857142857144,0.14285714285714285,0.22857142857142856,0.35714285714285715,0.2714285714285714,0.4714285714285714,0.22857142857142856,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.2571428571428571,0.24285714285714285,0.24285714285714285,0.15714285714285714,0.2714285714285714,0.24285714285714285,0.4,0.22857142857142856,0.3142857142857143,0.24285714285714285,0.38571428571428573,0.24285714285714285,0.2714285714285714,0.21428571428571427,0.32857142857142857,0.21428571428571427,0.35714285714285715,0.3,0.2571428571428571,0.4,0.3,0.34285714285714286,0.2857142857142857,0.2,0.3,0.3,0.2571428571428571,0.3,0.14285714285714285,0.3,0.22857142857142856,0.34285714285714286,0.17142857142857143,0.24285714285714285,0.2857142857142857,0.14285714285714285,0.4142857142857143,0.34285714285714286,0.22857142857142856,0.4142857142857143,0.3142857142857143,0.2571428571428571,0.4,0.38571428571428573,0.2714285714285714,0.35714285714285715,0.2571428571428571,0.18571428571428572,0.3142857142857143,0.4142857142857143,0.34285714285714286,0.15714285714285714,0.44285714285714284,0.22857142857142856,0.35714285714285715,0.18571428571428572,0.32857142857142857,0.4,0.21428571428571427,0.2857142857142857,0.3,0.42857142857142855,0.2571428571428571,0.2714285714285714,0.35714285714285715,0.15714285714285714,0.2,0.35714285714285715,0.2714285714285714,0.2857142857142857,0.2571428571428571,0.24285714285714285,0.18571428571428572,0.14285714285714285,0.15714285714285714,0.2,0.42857142857142855,0.2,0.4,0.32857142857142857,0.3142857142857143,0.21428571428571427,0.44285714285714284,0.35714285714285715,0.2857142857142857,0.2,0.2857142857142857,0.35714285714285715,0.4142857142857143,0.3,0.24285714285714285,0.11428571428571428,0.2857142857142857,0.2571428571428571,0.2714285714285714,0.34285714285714286,0.17142857142857143,0.34285714285714286,0.2714285714285714,0.35714285714285715,0.24285714285714285,0.22857142857142856,0.3142857142857143,0.3,0.34285714285714286,0.3142857142857143,0.2714285714285714,0.11428571428571428,0.34285714285714286,0.22857142857142856,0.6,0.2857142857142857,0.32857142857142857,0.44285714285714284,0.34285714285714286,0.17142857142857143,0.2,0.24285714285714285,0.2857142857142857,0.2714285714285714,0.2,0.3,0.24285714285714285,0.3142857142857143,0.2857142857142857,0.2571428571428571,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2571428571428571,0.24285714285714285,0.34285714285714286,0.38571428571428573,0.22857142857142856,0.14285714285714285,0.22857142857142856
0.35,0.2153846153846154,0.23076923076923078,0.3076923076923077,0.2,0.3384615384615385,0.46153846153846156,0.4,0.16923076923076924,0.26153846153846155,0.46153846153846156,0.36923076923076925,0.2,0.3076923076923077,0.47692307692307695,0.4307692307692308,0.35384615384615387,0.3384615384615385,0.4461538461538462,0.47692307692307695,0.27692307692307694,0.4307692307692308,0.4,0.4307692307692308,0.27692307692307694,0.23076923076923078,0.27692307692307694,0.2153846153846154,0.36923076923076925,0.27692307692307694,0.35384615384615387,0.35384615384615387,0.36923076923076925,0.3384615384615385,0.5230769230769231,0.3384615384615385,0.18461538461538463,0.24615384615384617,0.4307692307692308,0.4153846153846154,0.23076923076923078,0.3076923076923077,0.4461538461538462,0.49230769230769234,0.3230769230769231,0.18461538461538463,0.38461538461538464,0.23076923076923078,0.35384615384615387,0.3076923076923077,0.46153846153846156,0.38461538461538464,0.27692307692307694,0.15384615384615385,0.35384615384615387,0.3230769230769231,0.24615384615384617,0.2923076923076923,0.27692307692307694,0.3076923076923077,0.24615384615384617,0.2923076923076923,0.4307692307692308,0.5076923076923077,0.4153846153846154,0.26153846153846155,0.3384615384615385,0.4461538461538462,0.2,0.23076923076923078,0.36923076923076925,0.26153846153846155,0.3230769230769231,0.3384615384615385,0.2923076923076923,0.35384615384615387,0.27692307692307694,0.16923076923076924,0.4307692307692308,0.3230769230769231,0.4,0.26153846153846155,0.3076923076923077,0.38461538461538464,0.24615384615384617,0.2,0.36923076923076925,0.4153846153846154,0.46153846153846156,0.4307692307692308,0.4,0.24615384615384617,0.49230769230769234,0.3230769230769231,0.4461538461538462,0.38461538461538464,0.4461538461538462,0.2923076923076923,0.4,0.2,0.4,0.26153846153846155,0.4,0.4461538461538462,0.4307692307692308,0.5538461538461539,0.23076923076923078,0.23076923076923078,0.3384615384615385,0.38461538461538464,0.36923076923076925,0.2923076923076923,0.3076923076923077,0.2923076923076923,0.24615384615384617,0.2153846153846154,0.2923076923076923,0.23076923076923078,0.12307692307692308,0.38461538461538464,0.4307692307692308,0.5230769230769231,0.5538461538461539,0.23076923076923078,0.3230769230769231,0.26153846153846155,0.24615384615384617,0.15384615384615385,0.26153846153846155,0.3076923076923077,0.2153846153846154,0.38461538461538464,0.4461538461538462,0.36923076923076925,0.49230769230769234,0.4,0.3076923076923077,0.27692307692307694,0.4153846153846154,0.26153846153846155,0.3384615384615385,0.3230769230769231,0.3384615384615385,0.35384615384615387,0.3384615384615385,0.4153846153846154,0.27692307692307694,0.2,0.3230769230769231,0.49230769230769234,0.2923076923076923,0.38461538461538464,0.16923076923076924,0.3384615384615385,0.2923076923076923,0.4461538461538462,0.47692307692307695,0.2923076923076923,0.3076923076923077,0.2923076923076923,0.2923076923076923,0.49230769230769234,0.26153846153846155,0.4,0.3076923076923077,0.2923076923076923,0.36923076923076925,0.16923076923076924,0.4,0.23076923076923078,0.27692307692307694,0.3384615384615385,0.3076923076923077,0.27692307692307694,0.27692307692307694,0.38461538461538464,0.35384615384615387,0.35384615384615387,0.4461538461538462,0.36923076923076925,0.2923076923076923,0.47692307692307695,0.4307692307692308,0.2923076923076923,0.4307692307692308,0.35384615384615387,0.3076923076923077,0.2153846153846154,0.4,0.49230769230769234,0.26153846153846155,0.24615384615384617,0.4153846153846154,0.2923076923076923,0.35384615384615387,0.26153846153846155,0.2,0.2,0.4307692307692308,0.47692307692307695,0.36923076923076925,0.35384615384615387,0.3384615384615385,0.38461538461538464,0.27692307692307694,0.27692307692307694,0.4153846153846154,0.3384615384615385,0.3384615384615385,0.5076923076923077,0.2923076923076923,0.2923076923076923,0.24615384615384617,0.2153846153846154,0.4,0.3384615384615385,0.36923076923076925,0.4461538461538462,0.4153846153846154,0.4,0.2923076923076923,0.36923076923076925,0.2,0.4461538461538462,0.3230769230769231,0.27692307692307694,0.5384615384615384,0.18461538461538463,0.4,0.27692307692307694,0.3384615384615385,0.2,0.2923076923076923,0.3230769230769231,0.3076923076923077,0.3384615384615385,0.46153846153846156,0.18461538461538463,0.26153846153846155,0.4307692307692308,0.4307692307692308,0.23076923076923078,0.3230769230769231,0.46153846153846156,0.26153846153846155,0.23076923076923078,0.3230769230769231,0.26153846153846155,0.3076923076923077,0.5230769230769231,0.4153846153846154,0.4307692307692308,0.3230769230769231,0.3230769230769231,0.2923076923076923,0.3076923076923077,0.27692307692307694
0.4,0.16666666666666666,0.45,0.5333333333333333,0.4166666666666667,0.36666666666666664,0.36666666666666664,0.5833333333333334,0.35,0.2,0.4,0.5,0.38333333333333336,0.4166666666666667,0.5333333333333333,0.31666666666666665,0.38333333333333336,0.38333333333333336,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.31666666666666665,0.5666666666666667,0.35,0.38333333333333336,0.35,0.48333333333333334,0.5,0.48333333333333334,0.36666666666666664,0.31666666666666665,0.3333333333333333,0.4166666666666667,0.38333333333333336,0.48333333333333334,0.45,0.5,0.4,0.4,0.48333333333333334,0.36666666666666664,0.38333333333333336,0.31666666666666665,0.45,0.31666666666666665,0.48333333333333334,0.38333333333333336,0.4166666666666667,0.43333333333333335,0.38333333333333336,0.4666666666666667,0.38333333333333336,0.36666666666666664,0.18333333333333332,0.4166666666666667,0.25,0.45,0.4666666666666667,0.4,0.38333333333333336,0.36666666666666664,0.38333333333333336,0.6833333333333333,0.26666666666666666,0.36666666666666664,0.48333333333333334,0.4,0.35,0.3,0.48333333333333334,0.4166666666666667,0.4666666666666667,0.38333333333333336,0.21666666666666667,0.25,0.2833333333333333,0.31666666666666665,0.4166666666666667,0.48333333333333334,0.4,0.36666666666666664,0.4,0.38333333333333336,0.4166666666666667,0.31666666666666665,0.43333333333333335,0.4166666666666667,0.38333333333333336,0.5666666666666667,0.45,0.38333333333333336,0.4666666666666667,0.21666666666666667,0.35,0.5666666666666667,0.36666666666666664,0.38333333333333336,0.31666666666666665,0.23333333333333334,0.4166666666666667,0.45,0.2,0.7166666666666667,0.2,0.36666666666666664,0.4,0.3333333333333333,0.26666666666666666,0.43333333333333335,0.36666666666666664,0.31666666666666665,0.5,0.5,0.38333333333333336,0.4,0.4166666666666667,0.5,0.25,0.4,0.25,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.4666666666666667,0.48333333333333334,0.35,0.36666666666666664,0.3333333333333333,0.6,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.35,0.3,0.43333333333333335,0.4666666666666667,0.36666666666666664,0.31666666666666665,0.3,0.38333333333333336,0.31666666666666665,0.45,0.21666666666666667,0.35,0.45,0.3,0.6666666666666666,0.6,0.43333333333333335,0.4166666666666667,0.35,0.38333333333333336,0.43333333333333335,0.16666666666666666,0.38333333333333336,0.43333333333333335,0.4,0.45,0.4,0.35,0.5333333333333333,0.6,0.2,0.3,0.2833333333333333,0.45,0.3,0.23333333333333334,0.16666666666666666,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.43333333333333335,0.26666666666666666,0.48333333333333334,0.4,0.5166666666666667,0.3333333333333333,0.35,0.43333333333333335,0.35,0.2833333333333333,0.2833333333333333,0.4,0.4,0.38333333333333336,0.4166666666666667,0.2,0.43333333333333335,0.45,0.31666666666666665,0.35,0.48333333333333334,0.2833333333333333,0.4166666666666667,0.5833333333333334,0.35,0.43333333333333335,0.4666666666666667,0.4666666666666667,0.45,0.5166666666666667,0.48333333333333334,0.26666666666666666,0.3,0.31666666666666665,0.4166666666666667,0.31666666666666665,0.4166666666666667,0.3333333333333333,0.18333333333333332,0.38333333333333336,0.38333333333333336,0.31666666666666665,0.4166666666666667,0.2833333333333333,0.36666666666666664,0.3333333333333333,0.2833333333333333,0.48333333333333334,0.4,0.4666666666666667,0.38333333333333336,0.5333333333333333,0.35,0.43333333333333335,0.35,0.38333333333333336,0.3333333333333333,0.2833333333333333,0.45,0.55,0.43333333333333335,0.45,0.35,0.2833333333333333,0.4,0.45,0.48333333333333334,0.36666666666666664,0.3333333333333333,0.5,0.23333333333333334,0.3,0.45,0.45,0.4,0.35,0.5833333333333334,0.48333333333333334,0.5,0.4,0.3333333333333333,0.36666666666666664
0.45,0.4727272727272727,0.32727272727272727,0.41818181818181815,0.6181818181818182,0.43636363636363634,0.45454545454545453,0.4727272727272727,0.41818181818181815,0.4909090909090909,0.4727272727272727,0.41818181818181815,0.509090909090909,0.41818181818181815,0.36363636363636365,0.5636363636363636,0.36363636363636365,0.4909090909090909,0.6727272727272727,0.2545454545454545,0.36363636363636365,0.34545454545454546,0.3090909090909091,0.4909090909090909,0.6181818181818182,0.36363636363636365,0.4,0.45454545454545453,0.6,0.4727272727272727,0.43636363636363634,0.2727272727272727,0.34545454545454546,0.43636363636363634,0.32727272727272727,0.43636363636363634,0.5636363636363636,0.41818181818181815,0.2727272727272727,0.509090909090909,0.5818181818181818,0.36363636363636365,0.43636363636363634,0.4909090909090909,0.45454545454545453,0.41818181818181815,0.6545454545454545,0.45454545454545453,0.4909090909090909,0.509090909090909,0.34545454545454546,0.45454545454545453,0.3090909090909091,0.6,0.41818181818181815,0.41818181818181815,0.4909090909090909,0.36363636363636365,0.34545454545454546,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.4727272727272727,0.4727272727272727,0.41818181818181815,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.38181818181818183,0.34545454545454546,0.41818181818181815,0.4909090909090909,0.5636363636363636,0.38181818181818183,0.45454545454545453,0.5818181818181818,0.43636363636363634,0.41818181818181815,0.41818181818181815,0.36363636363636365,0.32727272727272727,0.5454545454545454,0.3090909090909091,0.2727272727272727,0.4,0.4909090909090909,0.2545454545454545,0.34545454545454546,0.2727272727272727,0.3090909090909091,0.4909090909090909,0.5454545454545454,0.43636363636363634,0.38181818181818183,0.5818181818181818,0.41818181818181815,0.32727272727272727,0.5818181818181818,0.3090909090909091,0.41818181818181815,0.4727272727272727,0.3090909090909091,0.43636363636363634,0.43636363636363634,0.4,0.2545454545454545,0.43636363636363634,0.5636363636363636,0.2727272727272727,0.4727272727272727,0.4,0.34545454545454546,0.41818181818181815,0.23636363636363636,0.5636363636363636,0.5636363636363636,0.45454545454545453,0.5636363636363636,0.4909090909090909,0.4727272727272727,0.5818181818181818,0.509090909090909,0.4909090909090909,0.5454545454545454,0.4727272727272727,0.4,0.43636363636363634,0.43636363636363634,0.45454545454545453,0.6363636363636364,0.32727272727272727,0.4909090909090909,0.4,0.38181818181818183,0.4,0.38181818181818183,0.509090909090909,0.45454545454545453,0.43636363636363634,0.5272727272727272,0.5818181818181818,0.41818181818181815,0.41818181818181815,0.6545454545454545,0.41818181818181815,0.36363636363636365,0.4909090909090909,0.2909090909090909,0.2545454545454545,0.38181818181818183,0.34545454545454546,0.4909090909090909,0.509090909090909,0.38181818181818183,0.2545454545454545,0.7272727272727273,0.4909090909090909,0.36363636363636365,0.509090909090909,0.41818181818181815,0.5636363636363636,0.2909090909090909,0.4909090909090909,0.36363636363636365,0.3090909090909091,0.5272727272727272,0.36363636363636365,0.509090909090909,0.2909090909090909,0.6,0.45454545454545453,0.45454545454545453,0.2909090909090909,0.509090909090909,0.38181818181818183,0.509090909090909,0.38181818181818183,0.5636363636363636,0.4,0.4727272727272727,0.45454545454545453,0.41818181818181815,0.36363636363636365,0.509090909090909,0.5454545454545454,0.6363636363636364,0.5272727272727272,0.5272727272727272,0.38181818181818183,0.43636363636363634,0.3090909090909091,0.6727272727272727,0.5454545454545454,0.38181818181818183,0.38181818181818183,0.36363636363636365,0.3090909090909091,0.34545454545454546,0.43636363636363634,0.2909090909090909,0.4,0.41818181818181815,0.4727272727272727,0.4,0.38181818181818183,0.43636363636363634,0.4909090909090909,0.32727272727272727,0.45454545454545453,0.38181818181818183,0.4,0.41818181818181815,0.509090909090909,0.5272727272727272,0.3090909090909091,0.4,0.34545454545454546,0.34545454545454546,0.4727272727272727,0.45454545454545453,0.509090909090909,0.41818181818181815,0.36363636363636365,0.509090909090909,0.36363636363636365,0.4727272727272727,0.5272727272727272,0.43636363636363634,0.6,0.5818181818181818,0.5636363636363636,0.5272727272727272,0.41818181818181815,0.3090909090909091,0.4727272727272727,0.23636363636363636,0.4,0.41818181818181815,0.4909090909090909,0.2909090909090909,0.36363636363636365,0.4,0.43636363636363634,0.5636363636363636,0.4909090909090909,0.4909090909090909,0.5454545454545454,0.5454545454545454,0.2909090909090909,0.4909090909090909,0.34545454545454546,0.41818181818181815,0.5818181818181818,0.4727272727272727,0.45454545454545453,0.4,0.6
