Fraction of Spies,Trial 0 Precision,Trial 1 Precision,Trial 2 Precision,Trial 3 Precision,Trial 4 Precision,Trial 5 Precision,Trial 6 Precision,Trial 7 Precision,Trial 8 Precision,Trial 9 Precision,Trial 10 Precision,Trial 11 Precision,Trial 12 Precision,Trial 13 Precision,Trial 14 Precision,Trial 15 Precision,Trial 16 Precision,Trial 17 Precision,Trial 18 Precision,Trial 19 Precision,Trial 20 Precision,Trial 21 Precision,Trial 22 Precision,Trial 23 Precision,Trial 24 Precision,Trial 25 Precision,Trial 26 Precision,Trial 27 Precision,Trial 28 Precision,Trial 29 Precision,Trial 30 Precision,Trial 31 Precision,Trial 32 Precision,Trial 33 Precision,Trial 34 Precision,Trial 35 Precision,Trial 36 Precision,Trial 37 Precision,Trial 38 Precision,Trial 39 Precision,Trial 40 Precision,Trial 41 Precision,Trial 42 Precision,Trial 43 Precision,Trial 44 Precision,Trial 45 Precision,Trial 46 Precision,Trial 47 Precision,Trial 48 Precision,Trial 49 Precision,Trial 50 Precision,Trial 51 Precision,Trial 52 Precision,Trial 53 Precision,Trial 54 Precision,Trial 55 Precision,Trial 56 Precision,Trial 57 Precision,Trial 58 Precision,Trial 59 Precision,Trial 60 Precision,Trial 61 Precision,Trial 62 Precision,Trial 63 Precision
0.2,0.1625,0.1625,0.1625,0.1875,0.2,0.1625,0.2125,0.15,0.1875,0.2,0.2,0.275,0.2375,0.175,0.2,0.2125,0.15,0.2375,0.1375,0.2375,0.1875,0.225,0.1125,0.15,0.1875,0.125,0.2,0.25,0.125,0.125,0.15,0.2375,0.25,0.1125,0.175,0.175,0.1875,0.2,0.0875,0.25,0.1875,0.2,0.2125,0.2,0.1875,0.1625,0.2125,0.1625,0.15,0.2,0.125,0.2125,0.1625,0.2125,0.25,0.2875,0.3,0.1875,0.175,0.1625,0.2625,0.2375,0.1375,0.2875
0.25,0.24,0.21333333333333335,0.2,0.2,0.13333333333333333,0.26666666666666666,0.18666666666666668,0.28,0.37333333333333335,0.16,0.2,0.28,0.17333333333333334,0.24,0.18666666666666668,0.37333333333333335,0.24,0.32,0.25333333333333335,0.14666666666666667,0.21333333333333335,0.30666666666666664,0.30666666666666664,0.29333333333333333,0.21333333333333335,0.25333333333333335,0.25333333333333335,0.26666666666666666,0.26666666666666666,0.16,0.25333333333333335,0.2,0.21333333333333335,0.25333333333333335,0.24,0.3333333333333333,0.21333333333333335,0.24,0.24,0.26666666666666666,0.32,0.24,0.2,0.24,0.24,0.32,0.22666666666666666,0.26666666666666666,0.30666666666666664,0.21333333333333335,0.21333333333333335,0.16,0.36,0.3333333333333333,0.25333333333333335,0.24,0.2,0.32,0.21333333333333335,0.17333333333333334,0.22666666666666666,0.2,0.26666666666666666,0.2
0.3,0.3,0.2714285714285714,0.3142857142857143,0.35714285714285715,0.32857142857142857,0.4,0.2,0.24285714285714285,0.3,0.4142857142857143,0.35714285714285715,0.37142857142857144,0.34285714285714286,0.22857142857142856,0.32857142857142857,0.38571428571428573,0.35714285714285715,0.37142857142857144,0.35714285714285715,0.3142857142857143,0.2857142857142857,0.34285714285714286,0.3,0.34285714285714286,0.3,0.32857142857142857,0.2714285714285714,0.24285714285714285,0.2571428571428571,0.2857142857142857,0.24285714285714285,0.3142857142857143,0.38571428571428573,0.35714285714285715,0.2,0.2,0.21428571428571427,0.21428571428571427,0.2714285714285714,0.34285714285714286,0.32857142857142857,0.2714285714285714,0.3142857142857143,0.22857142857142856,0.32857142857142857,0.2571428571428571,0.3,0.35714285714285715,0.24285714285714285,0.24285714285714285,0.3,0.3142857142857143,0.4,0.21428571428571427,0.3,0.35714285714285715,0.22857142857142856,0.2571428571428571,0.18571428571428572,0.2714285714285714,0.4142857142857143,0.24285714285714285,0.42857142857142855,0.3
0.35,0.4461538461538462,0.4,0.4,0.4153846153846154,0.36923076923076925,0.23076923076923078,0.36923076923076925,0.3384615384615385,0.3076923076923077,0.2153846153846154,0.38461538461538464,0.23076923076923078,0.2923076923076923,0.5538461538461539,0.38461538461538464,0.26153846153846155,0.23076923076923078,0.36923076923076925,0.47692307692307695,0.36923076923076925,0.4,0.36923076923076925,0.27692307692307694,0.2923076923076923,0.27692307692307694,0.4153846153846154,0.4461538461538462,0.36923076923076925,0.24615384615384617,0.5076923076923077,0.3076923076923077,0.4,0.4153846153846154,0.3384615384615385,0.35384615384615387,0.35384615384615387,0.4153846153846154,0.4307692307692308,0.4153846153846154,0.27692307692307694,0.4461538461538462,0.4,0.3384615384615385,0.27692307692307694,0.4307692307692308,0.27692307692307694,0.3384615384615385,0.3076923076923077,0.24615384615384617,0.26153846153846155,0.5076923076923077,0.3230769230769231,0.46153846153846156,0.3230769230769231,0.4461538461538462,0.3230769230769231,0.24615384615384617,0.3076923076923077,0.3076923076923077,0.35384615384615387,0.4153846153846154,0.35384615384615387,0.4153846153846154,0.4153846153846154
0.4,0.45,0.45,0.5,0.35,0.2833333333333333,0.43333333333333335,0.55,0.43333333333333335,0.5166666666666667,0.43333333333333335,0.25,0.3,0.4166666666666667,0.45,0.45,0.5166666666666667,0.31666666666666665,0.36666666666666664,0.5833333333333334,0.36666666666666664,0.43333333333333335,0.36666666666666664,0.43333333333333335,0.38333333333333336,0.35,0.36666666666666664,0.3,0.36666666666666664,0.5166666666666667,0.38333333333333336,0.31666666666666665,0.3,0.43333333333333335,0.4166666666666667,0.4166666666666667,0.36666666666666664,0.2833333333333333,0.38333333333333336,0.4,0.38333333333333336,0.5,0.25,0.35,0.38333333333333336,0.48333333333333334,0.45,0.3333333333333333,0.2,0.4166666666666667,0.4,0.45,0.43333333333333335,0.6166666666666667,0.5,0.4,0.5,0.43333333333333335,0.4,0.36666666666666664,0.36666666666666664,0.4166666666666667,0.4166666666666667,0.5333333333333333,0.43333333333333335
0.45,0.6,0.509090909090909,0.38181818181818183,0.43636363636363634,0.36363636363636365,0.5454545454545454,0.43636363636363634,0.32727272727272727,0.4,0.4,0.41818181818181815,0.43636363636363634,0.3090909090909091,0.36363636363636365,0.45454545454545453,0.5272727272727272,0.4909090909090909,0.4,0.2727272727272727,0.4727272727272727,0.4727272727272727,0.6,0.41818181818181815,0.36363636363636365,0.32727272727272727,0.45454545454545453,0.34545454545454546,0.34545454545454546,0.45454545454545453,0.4,0.32727272727272727,0.41818181818181815,0.45454545454545453,0.36363636363636365,0.38181818181818183,0.4727272727272727,0.43636363636363634,0.4909090909090909,0.4,0.5272727272727272,0.32727272727272727,0.4909090909090909,0.4,0.4909090909090909,0.43636363636363634,0.5272727272727272,0.32727272727272727,0.4727272727272727,0.38181818181818183,0.45454545454545453,0.45454545454545453,0.41818181818181815,0.34545454545454546,0.4,0.4,0.41818181818181815,0.3090909090909091,0.5454545454545454,0.5636363636363636,0.509090909090909,0.41818181818181815,0.4727272727272727,0.43636363636363634,0.5636363636363636
0.5,0.4,0.56,0.48,0.68,0.56,0.48,0.58,0.36,0.42,0.4,0.4,0.4,0.56,0.54,0.48,0.44,0.5,0.4,0.62,0.44,0.42,0.54,0.52,0.48,0.42,0.48,0.62,0.46,0.62,0.52,0.64,0.54,0.44,0.5,0.4,0.38,0.44,0.28,0.42,0.28,0.56,0.46,0.56,0.48,0.4,0.46,0.58,0.7,0.5,0.38,0.54,0.4,0.52,0.38,0.66,0.44,0.42,0.52,0.46,0.62,0.42,0.52,0.48,0.56
